year,month,date,indexPS,monthlyPS,annualPS,day,CPI,inflation_CPI
2008,Jul,01-Jul-08,100,NA,NA,01,100,0.5251011128121874
2008,Jul,02-Jul-08,99.886787,NA,NA,02,100,0.5251011128121874
2008,Jul,03-Jul-08,99.866524,NA,NA,03,100,0.5251011128121874
2008,Jul,04-Jul-08,99.845139,NA,NA,04,100,0.5251011128121874
2008,Jul,05-Jul-08,99.892776,NA,NA,05,100,0.5251011128121874
2008,Jul,06-Jul-08,99.910408,NA,NA,06,100,0.5251011128121874
2008,Jul,07-Jul-08,99.943283,NA,NA,07,100,0.5251011128121874
2008,Jul,08-Jul-08,99.957413,NA,NA,08,100,0.5251011128121874
2008,Jul,09-Jul-08,99.993317,NA,NA,09,100,0.5251011128121874
2008,Jul,10-Jul-08,99.995537,NA,NA,10,100,0.5251011128121874
2008,Jul,11-Jul-08,99.958328,NA,NA,11,100,0.5251011128121874
2008,Jul,12-Jul-08,99.95919,NA,NA,12,100,0.5251011128121874
2008,Jul,13-Jul-08,99.886002,NA,NA,13,100,0.5251011128121874
2008,Jul,14-Jul-08,99.905884,NA,NA,14,100,0.5251011128121874
2008,Jul,15-Jul-08,99.918663,NA,NA,15,100,0.5251011128121874
2008,Jul,16-Jul-08,99.957687,NA,NA,16,100,0.5251011128121874
2008,Jul,17-Jul-08,99.98468,NA,NA,17,100,0.5251011128121874
2008,Jul,18-Jul-08,99.994057,NA,NA,18,100,0.5251011128121874
2008,Jul,19-Jul-08,99.962029,NA,NA,19,100,0.5251011128121874
2008,Jul,20-Jul-08,100.0138,NA,NA,20,100,0.5251011128121874
2008,Jul,21-Jul-08,100.0753,NA,NA,21,100,0.5251011128121874
2008,Jul,22-Jul-08,100.0794,NA,NA,22,100,0.5251011128121874
2008,Jul,23-Jul-08,100.1008,NA,NA,23,100,0.5251011128121874
2008,Jul,24-Jul-08,100.1035,NA,NA,24,100,0.5251011128121874
2008,Jul,25-Jul-08,100.1422,NA,NA,25,100,0.5251011128121874
2008,Jul,26-Jul-08,100.1052,NA,NA,26,100,0.5251011128121874
2008,Jul,27-Jul-08,100.0965,NA,NA,27,100,0.5251011128121874
2008,Jul,28-Jul-08,100.1249,NA,NA,28,100,0.5251011128121874
2008,Jul,29-Jul-08,100.119,NA,NA,29,100,0.5251011128121874
2008,Jul,30-Jul-08,100.1143,NA,NA,30,100,0.5251011128121874
2008,Jul,31-Jul-08,100.1322,8.23975e-4,NA,31,100,0.5251011128121874
2008,Aug,01-Aug-08,100.2066,0.068138547,NA,01,99.60084377443582,-0.39915622556417896
2008,Aug,02-Aug-08,100.1909,0.10461636,NA,02,99.60084377443582,-0.39915622556417896
2008,Aug,03-Aug-08,100.206,0.13485523,NA,03,99.60084377443582,-0.39915622556417896
2008,Aug,04-Aug-08,100.245,0.14797008,NA,04,99.60084377443582,-0.39915622556417896
2008,Aug,05-Aug-08,100.2245,0.1564289,NA,05,99.60084377443582,-0.39915622556417896
2008,Aug,06-Aug-08,100.2182,0.1594357,NA,06,99.60084377443582,-0.39915622556417896
2008,Aug,07-Aug-08,100.2301,0.16214398,NA,07,99.60084377443582,-0.39915622556417896
2008,Aug,08-Aug-08,100.2046,0.16022061,NA,08,99.60084377443582,-0.39915622556417896
2008,Aug,09-Aug-08,100.1196,0.15696399,NA,09,99.60084377443582,-0.39915622556417896
2008,Aug,10-Aug-08,100.1255,0.15988387,NA,10,99.60084377443582,-0.39915622556417896
2008,Aug,11-Aug-08,100.1463,0.16382721,NA,11,99.60084377443582,-0.39915622556417896
2008,Aug,12-Aug-08,100.0884,0.17429283,NA,12,99.60084377443582,-0.39915622556417896
2008,Aug,13-Aug-08,100.1263,0.18339661,NA,13,99.60084377443582,-0.39915622556417896
2008,Aug,14-Aug-08,100.0952,0.18994857,NA,14,99.60084377443582,-0.39915622556417896
2008,Aug,15-Aug-08,100.0822,0.19223545,NA,15,99.60084377443582,-0.39915622556417896
2008,Aug,16-Aug-08,100.1008,0.19287054,NA,16,99.60084377443582,-0.39915622556417896
2008,Aug,17-Aug-08,100.1417,0.19439849,NA,17,99.60084377443582,-0.39915622556417896
2008,Aug,18-Aug-08,100.16,0.19964816,NA,18,99.60084377443582,-0.39915622556417896
2008,Aug,19-Aug-08,100.2055,0.20223607,NA,19,99.60084377443582,-0.39915622556417896
2008,Aug,20-Aug-08,100.1561,0.19854391,NA,20,99.60084377443582,-0.39915622556417896
2008,Aug,21-Aug-08,100.1823,0.19598265,NA,21,99.60084377443582,-0.39915622556417896
2008,Aug,22-Aug-08,100.2114,0.19327588,NA,22,99.60084377443582,-0.39915622556417896
2008,Aug,23-Aug-08,100.182,0.18991391,NA,23,99.60084377443582,-0.39915622556417896
2008,Aug,24-Aug-08,100.2056,0.18497828,NA,24,99.60084377443582,-0.39915622556417896
2008,Aug,25-Aug-08,100.2359,0.18425158,NA,25,99.60084377443582,-0.39915622556417896
2008,Aug,26-Aug-08,100.2526,0.18506761,NA,26,99.60084377443582,-0.39915622556417896
2008,Aug,27-Aug-08,100.2503,0.18415785,NA,27,99.60084377443582,-0.39915622556417896
2008,Aug,28-Aug-08,100.2711,0.18469888,NA,28,99.60084377443582,-0.39915622556417896
2008,Aug,29-Aug-08,100.2656,0.18566796,NA,29,99.60084377443582,-0.39915622556417896
2008,Aug,30-Aug-08,100.2635,0.18563689,NA,30,99.60084377443582,-0.39915622556417896
2008,Aug,31-Aug-08,100.2917,0.17779024,NA,31,99.60084377443582,-0.39915622556417896
2008,Sep,01-Sep-08,100.3417,0.1719816,NA,01,99.46309396082995,-0.13830185406644713
2008,Sep,02-Sep-08,100.4398,0.16772807,NA,02,99.46309396082995,-0.13830185406644713
2008,Sep,03-Sep-08,100.4585,0.16309473,NA,03,99.46309396082995,-0.13830185406644713
2008,Sep,04-Sep-08,100.4519,0.16018012,NA,04,99.46309396082995,-0.13830185406644713
2008,Sep,05-Sep-08,100.4486,0.15868632,NA,05,99.46309396082995,-0.13830185406644713
2008,Sep,06-Sep-08,100.4711,0.15761985,NA,06,99.46309396082995,-0.13830185406644713
2008,Sep,07-Sep-08,100.4532,0.15885133,NA,07,99.46309396082995,-0.13830185406644713
2008,Sep,08-Sep-08,100.4748,0.16654384,NA,08,99.46309396082995,-0.13830185406644713
2008,Sep,09-Sep-08,100.4828,0.17286116,NA,09,99.46309396082995,-0.13830185406644713
2008,Sep,10-Sep-08,100.4849,0.17789613,NA,10,99.46309396082995,-0.13830185406644713
2008,Sep,11-Sep-08,100.4288,0.18247223,NA,11,99.46309396082995,-0.13830185406644713
2008,Sep,12-Sep-08,100.4145,0.18472223,NA,12,99.46309396082995,-0.13830185406644713
2008,Sep,13-Sep-08,100.4375,0.19022857,NA,13,99.46309396082995,-0.13830185406644713
