country,date,indexPS,monthlyPS,annualPS,cid
ARGENTINA,01-Nov-07,100,,,ARGENTINA
ARGENTINA,02-Nov-07,100.26052,,,ARGENTINA
ARGENTINA,03-Nov-07,100.22565,,,ARGENTINA
ARGENTINA,04-Nov-07,100.19613,,,ARGENTINA
ARGENTINA,05-Nov-07,99.821159,,,ARGENTINA
ARGENTINA,06-Nov-07,99.965027,,,ARGENTINA
ARGENTINA,07-Nov-07,100.07256,,,ARGENTINA
ARGENTINA,08-Nov-07,100.09344,,,ARGENTINA
ARGENTINA,09-Nov-07,100.60484,,,ARGENTINA
ARGENTINA,10-Nov-07,100.51282,,,ARGENTINA
ARGENTINA,11-Nov-07,100.48901,,,ARGENTINA
ARGENTINA,12-Nov-07,100.00564,,,ARGENTINA
ARGENTINA,13-Nov-07,100.24912,,,ARGENTINA
ARGENTINA,14-Nov-07,100.32085,,,ARGENTINA
ARGENTINA,15-Nov-07,100.37564,,,ARGENTINA
ARGENTINA,16-Nov-07,100.98398,,,ARGENTINA
ARGENTINA,17-Nov-07,101.0086,,,ARGENTINA
ARGENTINA,18-Nov-07,100.9839,,,ARGENTINA
ARGENTINA,19-Nov-07,100.42915,,,ARGENTINA
ARGENTINA,20-Nov-07,100.58538,,,ARGENTINA
ARGENTINA,21-Nov-07,100.72713,,,ARGENTINA
ARGENTINA,22-Nov-07,100.7396,,,ARGENTINA
ARGENTINA,23-Nov-07,101.33063,,,ARGENTINA
ARGENTINA,24-Nov-07,101.29989,,,ARGENTINA
ARGENTINA,25-Nov-07,101.27979,,,ARGENTINA
ARGENTINA,26-Nov-07,100.59222,,,ARGENTINA
ARGENTINA,27-Nov-07,100.66361,,,ARGENTINA
ARGENTINA,28-Nov-07,100.75874,,,ARGENTINA
ARGENTINA,29-Nov-07,100.86154,,,ARGENTINA
ARGENTINA,30-Nov-07,101.71884,,,ARGENTINA
ARGENTINA,01-Dec-07,101.74937,0.63015747,,ARGENTINA
ARGENTINA,02-Dec-07,101.74648,0.54870844,,ARGENTINA
ARGENTINA,03-Dec-07,101.2169,0.54978347,,ARGENTINA
ARGENTINA,04-Dec-07,101.46908,0.58359164,,ARGENTINA
ARGENTINA,05-Dec-07,101.53342,0.71083212,,ARGENTINA
ARGENTINA,06-Dec-07,101.57272,0.78713566,,ARGENTINA
ARGENTINA,07-Dec-07,102.40157,0.86550379,,ARGENTINA
ARGENTINA,08-Dec-07,102.28786,0.93655115,,ARGENTINA
ARGENTINA,09-Dec-07,102.26604,0.93299562,,ARGENTINA
ARGENTINA,10-Dec-07,101.73438,0.93584496,,ARGENTINA
ARGENTINA,11-Dec-07,101.89087,0.95374531,,ARGENTINA
ARGENTINA,12-Dec-07,101.97034,1.0357499,,ARGENTINA
ARGENTINA,13-Dec-07,101.97868,1.0884863,,ARGENTINA
ARGENTINA,14-Dec-07,101.97279,1.1341622,,ARGENTINA
ARGENTINA,15-Dec-07,102.46052,1.191769,,ARGENTINA
ARGENTINA,16-Dec-07,102.48306,1.1929616,,ARGENTINA
ARGENTINA,17-Dec-07,102.49657,1.1980443,,ARGENTINA
ARGENTINA,18-Dec-07,102.50108,1.2104132,,ARGENTINA
ARGENTINA,19-Dec-07,102.25548,1.2664835,,ARGENTINA
ARGENTINA,20-Dec-07,102.28767,1.3110185,,ARGENTINA
ARGENTINA,21-Dec-07,102.85703,1.3640633,,ARGENTINA
ARGENTINA,22-Dec-07,102.80616,1.416025,,ARGENTINA
ARGENTINA,23-Dec-07,102.83446,1.4247788,,ARGENTINA
ARGENTINA,24-Dec-07,102.84138,1.4394925,,ARGENTINA
ARGENTINA,25-Dec-07,102.85334,1.4589936,,ARGENTINA
ARGENTINA,26-Dec-07,102.88846,1.5316576,,ARGENTINA
ARGENTINA,27-Dec-07,102.99126,1.6029577,,ARGENTINA
ARGENTINA,28-Dec-07,103.02739,1.6692665,,ARGENTINA
ARGENTINA,29-Dec-07,103.16001,1.7335854,,ARGENTINA
ARGENTINA,30-Dec-07,103.1529,1.741104,,ARGENTINA
ARGENTINA,31-Dec-07,103.15609,1.7287455,,ARGENTINA
ARGENTINA,01-Jan-08,103.16523,1.7256746,,ARGENTINA
ARGENTINA,02-Jan-08,103.23151,1.7589781,,ARGENTINA
ARGENTINA,03-Jan-08,103.41425,1.7804769,,ARGENTINA
ARGENTINA,04-Jan-08,103.42711,1.7854626,,ARGENTINA
ARGENTINA,05-Jan-08,103.42004,1.7924335,,ARGENTINA
ARGENTINA,06-Jan-08,103.37768,1.746379,,ARGENTINA
ARGENTINA,07-Jan-08,103.03194,1.6972612,,ARGENTINA
ARGENTINA,08-Jan-08,103.13906,1.6703343,,ARGENTINA
ARGENTINA,09-Jan-08,103.21314,1.6781428,,ARGENTINA
ARGENTINA,10-Jan-08,103.23822,1.6755726,,ARGENTINA
ARGENTINA,11-Jan-08,103.66366,1.6655495,,ARGENTINA
ARGENTINA,12-Jan-08,103.64082,1.6623869,,ARGENTINA
ARGENTINA,13-Jan-08,103.61143,1.6610394,,ARGENTINA
ARGENTINA,14-Jan-08,103.21841,1.6162871,,ARGENTINA
ARGENTINA,15-Jan-08,103.397,1.5962704,,ARGENTINA
ARGENTINA,16-Jan-08,103.51113,1.5799396,,ARGENTINA
ARGENTINA,17-Jan-08,103.66705,1.5676212,,ARGENTINA
ARGENTINA,18-Jan-08,104.19202,1.5703009,,ARGENTINA
ARGENTINA,19-Jan-08,104.2001,1.5763129,,ARGENTINA
ARGENTINA,20-Jan-08,104.17127,1.5484884,,ARGENTINA
ARGENTINA,21-Jan-08,104.00063,1.5188909,,ARGENTINA
ARGENTINA,22-Jan-08,103.98328,1.5065268,,ARGENTINA
ARGENTINA,23-Jan-08,104.11124,1.4968815,,ARGENTINA
ARGENTINA,24-Jan-08,104.18236,1.4881207,,ARGENTINA
ARGENTINA,25-Jan-08,104.67399,1.4703245,,ARGENTINA
ARGENTINA,26-Jan-08,104.69399,1.4488046,,ARGENTINA
ARGENTINA,27-Jan-08,104.19969,1.4119738,,ARGENTINA
ARGENTINA,28-Jan-08,104.20454,1.3700446,,ARGENTINA
ARGENTINA,29-Jan-08,104.28049,1.3594282,,ARGENTINA
ARGENTINA,30-Jan-08,104.37272,1.3526198,,ARGENTINA
ARGENTINA,31-Jan-08,104.43909,1.3472723,,ARGENTINA
ARGENTINA,01-Feb-08,104.8644,1.3339721,,ARGENTINA
ARGENTINA,02-Feb-08,104.95033,1.3198264,,ARGENTINA
ARGENTINA,03-Feb-08,104.93957,1.3066349,,ARGENTINA
ARGENTINA,04-Feb-08,104.53886,1.2822068,,ARGENTINA
ARGENTINA,05-Feb-08,104.60881,1.2900758,,ARGENTINA
ARGENTINA,06-Feb-08,104.68809,1.3193517,,ARGENTINA
ARGENTINA,07-Feb-08,104.75578,1.3431076,,ARGENTINA
ARGENTINA,08-Feb-08,105.09205,1.3554354,,ARGENTINA
ARGENTINA,09-Feb-08,105.49871,1.3844326,,ARGENTINA
ARGENTINA,10-Feb-08,105.45918,1.3869871,,ARGENTINA
ARGENTINA,11-Feb-08,105.13651,1.380854,,ARGENTINA
